35072404-B_0.75 5198 Maq 1 Alpha 550
CCH,tension
1.046,117.5
1.053,127.2
1.047,125.5
1.048,120.8
1.051,116.3
1.038,119.1
1.044,117.2
1.051,108.0
1.048,122.2
1.044,125.2
1.062,132.5
1.052,128.1
1.051,124.0
1.044,114.3
1.052,122.0
1.047,129.3
1.048,116.4
1.063,117.8
1.054,123.5
1.051,126.0
1.051,123.8
1.057,111.7
1.034,114.3
1.057,122.8
1.051,117.3
1.053,122.0
1.04,125.0
1.047,105.3
1.047,119.1
1.046,135.0
1.053,128.4
1.048,124.2
1.053,123.1
1.043,127.3
1.054,126.7
1.044,127.8
1.053,129.2
1.044,125.9
1.054,122.4
1.046,100.2
1.044,125.9
1.052,123.1
1.051,124.2
1.046,116.4
1.045,122.1
1.056,116.3
1.055,122.7
1.049,114.1
1.042,133.2
1.047,123.9
1.049,131.6
1.054,115.8
1.044,121.8
1.061,111.2
1.054,120.8
1.049,134.7
1.05,133.3
1.05,128.7
1.055,134.3
1.049,115.0
1.059,127.4
1.056,122.0
1.043,121.5
1.049,126.5
1.055,113.8
1.053,111.0
1.048,117.2
1.052,100.5
1.054,123.5
1.046,126.4
1.049,124.6
1.049,125.5
1.052,115.9
1.062,124.3
1.055,111.3
1.05,116.0
1.053,110.3
1.059,133.2
1.047,130.0
1.054,131.5
1.054,107.4
1.056,119.5
1.054,125.9
1.054,108.8
1.05,114.4
1.055,124.9
1.049,121.3
1.045,122.7
1.057,130.0
1.051,118.4
1.047,110.3
1.045,126.8
1.047,130.7
1.048,120.5
1.04,133.9
1.048,127.0
1.051,120.3
1.046,124.1
1.05,111.6
1.05,120.5
